"","dyadID","a2pSOO_A","a2pSOO_P","age_A","age_P","authenticity_A","authenticity_P","avg_sexism_A","avg_sexism_P","careerasp_A","careerasp_P","gender_A","gender_P","howbody_avg_A","howbody_avg_P","inter_1_A","inter_1_P","inter_10_A","inter_10_P","inter_3_A","inter_3_P","inter_5_A","inter_5_P","inter_6_A","inter_6_P","inter_7_A","inter_7_P","inter_9_A","inter_9_P","interaux_5_A","interaux_5_P","interaux_6_A","interaux_6_P","metaSOO_A","metaSOO_P","partID_A","partID_P","partnum_A","partnum_P","personE_A","personE_P","race_A","race_P","relag_A","relag_P","sexism_logel_A","sexism_logel_P","sexor_A","sexor_P","trigram_score_A","trigram_score_P","TSO_A","TSO_P","smith_or_clark"
"1",2,-1.8,0.542857142857143,18,18,6,6.22222222222222,3.57142857142857,3.47619047619048,3.5,4.2,2,2,2.5,2.5,7,5,6,6,4,5,7,7,6,7,6,7,6,6,5,7,7,6,-2.65714285714286,-0.257142857142857,3,4,1,1,-1,1,3,2,5.88888888888889,4.77777777777778,3,4,NA,NA,7,7,-3.8,-0.6,"Clark"
"2",2,0.542857142857143,-1.8,18,18,6.22222222222222,6,3.47619047619048,3.57142857142857,4.2,3.5,2,2,2.5,2.5,5,7,6,6,5,4,7,7,7,6,7,6,6,6,7,5,6,7,-0.257142857142857,-2.65714285714286,4,3,2,2,1,-1,2,3,4.77777777777778,5.88888888888889,4,3,NA,NA,7,7,-0.6,-3.8,"Clark"
"3",5,-1.05714285714286,-0.628571428571429,20,19,4.33333333333333,4,3.0952380952381,2.9047619047619,2.9,3.6,2,2,3,1,5,3,3,4,5,4,6,4,3,3,5,4,3,4,4,5,5,5,-0.828571428571428,0.171428571428572,9,10,1,1,-1,1,3,3,3.11111111111111,5.66666666666667,2.66666666666667,3,NA,NA,5,7,3,4.6,"Clark"
"4",5,-0.628571428571429,-1.05714285714286,19,20,4,4.33333333333333,2.9047619047619,3.0952380952381,3.6,2.9,2,2,1,3,3,5,4,3,4,5,4,6,3,3,4,5,4,3,5,4,5,5,0.171428571428572,-0.828571428571428,10,9,2,2,1,-1,3,3,5.66666666666667,3.11111111111111,3,2.66666666666667,NA,NA,7,5,4.6,3,"Clark"
"5",8,-2.25714285714286,0.0857142857142854,20,18,5.66666666666667,5.88888888888889,3.23809523809524,3.28571428571429,4.8,4.6,2,2,3,1,5,6,5,7,6,4,7,5,4,5,6,6,5,7,6,6,7,7,-1.85714285714286,-0.171428571428571,15,16,1,1,-1,1,1,6,4.11111111111111,6.55555555555556,3.44444444444444,3.44444444444444,NA,NA,2,6,1,2.2,"Clark"
"6",8,0.0857142857142854,-2.25714285714286,18,20,5.88888888888889,5.66666666666667,3.28571428571429,3.23809523809524,4.6,4.8,2,2,1,3,6,5,7,5,4,6,5,7,5,4,6,6,7,5,6,6,7,7,-0.171428571428571,-1.85714285714286,16,15,2,2,1,-1,6,1,6.55555555555556,4.11111111111111,3.44444444444444,3.44444444444444,NA,NA,6,2,2.2,1,"Clark"
"7",10,-1.22857142857143,-0.342857142857143,18,18,5.33333333333333,4.33333333333333,3.19047619047619,3.33333333333333,4.7,3.5,2,2,2,1,5,3,4,3,6,4,6,5,5,5,5,5,5,2,6,5,6,7,-2.08571428571429,-0.885714285714286,20,19,2,2,1,-1,3,3,4.66666666666667,3.66666666666667,3.44444444444444,3.66666666666667,1,1,7,6,3.4,3,"Clark"
"8",10,-0.342857142857143,-1.22857142857143,18,18,4.33333333333333,5.33333333333333,3.33333333333333,3.19047619047619,3.5,4.7,2,2,1,2,3,5,3,4,4,6,5,6,5,5,5,5,2,5,5,6,7,6,-0.885714285714286,-2.08571428571429,19,20,1,1,-1,1,3,3,3.66666666666667,4.66666666666667,3.66666666666667,3.44444444444444,1,1,6,7,3,3.4,"Clark"
"9",16,-0.371428571428571,-0.0285714285714285,17,18,5.22222222222222,5.77777777777778,3.04761904761905,2.76190476190476,3.7,3.9,2,2,2,1,5,6,5,6,5,6,6,6,5,6,5,6,5,6,6,5,5,5,0.314285714285715,-0.371428571428571,36,37,1,1,-1,1,3,6,4.33333333333333,6.77777777777778,3.11111111111111,2.66666666666667,1,1,5,6,1,-0.6,"Clark"
"10",16,-0.0285714285714285,-0.371428571428571,18,17,5.77777777777778,5.22222222222222,2.76190476190476,3.04761904761905,3.9,3.7,2,2,1,2,6,5,6,5,6,5,6,6,6,5,6,5,6,5,5,6,5,5,-0.371428571428571,0.314285714285715,37,36,2,2,1,-1,6,3,6.77777777777778,4.33333333333333,2.66666666666667,3.11111111111111,1,1,6,5,-0.6,1,"Clark"
"11",17,0,0.685714285714285,17,19,4.88888888888889,3.88888888888889,3.21428571428571,NA,3.5,4,2,2,4,1,4,5,5,3,5,3,5,5,5,5,5,4,5,5,6,2,4,3,-0.657142857142857,-0.885714285714286,38,39,1,1,-1,1,2,2,2.77777777777778,4,3.38888888888889,NA,1,1,4,NA,-3.4,-3,"Clark"
"12",17,0.685714285714285,0,19,17,3.88888888888889,4.88888888888889,NA,3.21428571428571,4,3.5,2,2,1,4,5,4,3,5,3,5,5,5,5,5,4,5,5,5,2,6,3,4,-0.885714285714286,-0.657142857142857,39,38,2,2,1,-1,2,2,4,2.77777777777778,NA,3.38888888888889,1,1,NA,4,-3,-3.4,"Clark"
"13",21,-3.37142857142857,-3.17142857142857,18,21,6.22222222222222,2.66666666666667,3.57142857142857,2.9047619047619,4.1,3.4,2,2,4,1,6,2,6,1,5,3,7,3,7,4,7,4,5,1,6,3,7,3,0.0571428571428569,-2.57142857142857,49,48,2,2,1,-1,3,4,4.66666666666667,4.55555555555556,3.77777777777778,2.88888888888889,1,1,4,0,2.2,-0.6,"Clark"
"14",21,-3.17142857142857,-3.37142857142857,21,18,2.66666666666667,6.22222222222222,2.9047619047619,3.57142857142857,3.4,4.1,2,2,1,4,2,6,1,6,3,5,3,7,4,7,4,7,1,5,3,6,3,7,-2.57142857142857,0.0571428571428569,48,49,1,1,-1,1,4,3,4.55555555555556,4.66666666666667,2.88888888888889,3.77777777777778,1,1,0,4,-0.6,2.2,"Clark"
"15",22,-2.65714285714286,-1.71428571428571,21,19,5.22222222222222,4.22222222222222,3.33333333333333,3.23809523809524,3.9,4.6,2,2,1.5,3.5,3,3,5,3,5,3,6,5,4,4,6,6,4,4,7,5,7,5,-1.45714285714286,-2.28571428571429,51,50,2,2,1,-1,2,3,4.22222222222222,4.11111111111111,3.77777777777778,3.88888888888889,1,1,2,9,3,-2.2,"Clark"
"16",22,-1.71428571428571,-2.65714285714286,19,21,4.22222222222222,5.22222222222222,3.23809523809524,3.33333333333333,4.6,3.9,2,2,3.5,1.5,3,3,3,5,3,5,5,6,4,4,6,6,4,4,5,7,5,7,-2.28571428571429,-1.45714285714286,50,51,1,1,-1,1,3,2,4.11111111111111,4.22222222222222,3.88888888888889,3.77777777777778,1,1,9,2,-2.2,3,"Clark"
"17",23,-2.45714285714286,-1,19,18,6.22222222222222,6,2.61904761904762,3.4,3.9,3.6,2,2,1,2,5,6,7,6,6,7,7,7,5,5,5,6,7,4,7,7,7,6,-1.51428571428571,-0.514285714285714,55,54,2,2,1,-1,3,2,6.33333333333333,4.55555555555556,2.11111111111111,4.16666666666667,3,1,8,1,1,-1,"Clark"
