partID,dyadID,Trigram,Correct Answer,Response,Correct? (1/0),accurate?,,,,,
3,2,QUACK : POND: WADDLE,DUCK,Duck,1,yes,,,,,
3,2,ATHLETES : WEB : RABBIT,FOOT,foot,1,yes,,,,1,"""fir"" somewhere"
3,2,HONEY : SWARM : STING,BEE,bee,1,yes,,,,1,"""ca"""
3,2,MATCHES : SMOKE : BUSH,FIRE,fire,1,yes,,,,1,"""duc"""
3,2,CHOCOLATE : FORTUNE : TIN,COOKIE,coin,0,yes,,,,,
3,2,CURIOSITY : NAP : WHISKERS,CAT,cat,1,yes,,,,,
3,2,STALK : TRAINER : KING,LION,,0,yes,,,,,
3,2,SURPRISE : LINE : BIRTHDAY,PARTY,party,1,yes,,,,,
3,2,RED : GO : CAR,STOP,light,0,yes,,,,,
3,2,MOUSE : SHARP : BLUE,CHEESE,cheese,1,yes,,,,,
4,2,QUACK : POND: WADDLE,DUCK,duck,1,yes,,,,,
4,2,ATHLETES : WEB : RABBIT,FOOT,foot,1,yes,,,,,
4,2,HONEY : SWARM : STING,BEE,bee,1,yes,,,,,
4,2,MATCHES : SMOKE : BUSH,FIRE,fire,1,yes,,,,,
4,2,CHOCOLATE : FORTUNE : TIN,COOKIE,cookie,1,yes,,,,,
4,2,CURIOSITY : NAP : WHISKERS,CAT,cat,1,yes,,,,,
4,2,STALK : TRAINER : KING,LION,man,0,yes,,,,,
4,2,SURPRISE : LINE : BIRTHDAY,PARTY,party,1,yes,,,,,
4,2,RED : GO : CAR,STOP,fs,0,yes,,,,,
4,2,MOUSE : SHARP : BLUE,CHEESE,trap,0,yes,,,,,
5,3,QUACK : POND: WADDLE,DUCK,,0,yes,,,,,
5,3,ATHLETES : WEB : RABBIT,FOOT,,0,yes,,,,,
5,3,HONEY : SWARM : STING,BEE,,0,yes,,,,,
5,3,MATCHES : SMOKE : BUSH,FIRE,fire,1,yes,,,,,
5,3,CHOCOLATE : FORTUNE : TIN,COOKIE,,0,yes,,,,,
5,3,CURIOSITY : NAP : WHISKERS,CAT,cat,1,yes,,,,,
5,3,STALK : TRAINER : KING,LION,,0,yes,,,,,
5,3,SURPRISE : LINE : BIRTHDAY,PARTY,,0,yes,,,,,
5,3,RED : GO : CAR,STOP,,0,yes,,,,,
5,3,MOUSE : SHARP : BLUE,CHEESE,cheese,1,yes,,,,,
6,3,QUACK : POND: WADDLE,DUCK,Duck,1,yes,,,,,
6,3,ATHLETES : WEB : RABBIT,FOOT,foot,1,yes,,,,,
6,3,HONEY : SWARM : STING,BEE,bee,1,yes,,,,,
6,3,MATCHES : SMOKE : BUSH,FIRE,fire,1,yes,,,,,
6,3,CHOCOLATE : FORTUNE : TIN,COOKIE,cookie,1,yes,,,,,
6,3,CURIOSITY : NAP : WHISKERS,CAT,cat,1,yes,,,,,
6,3,STALK : TRAINER : KING,LION,,0,yes,,,,,
6,3,SURPRISE : LINE : BIRTHDAY,PARTY,party,1,yes,,,,,
6,3,RED : GO : CAR,STOP,light,0,yes,,,,,
6,3,MOUSE : SHARP : BLUE,CHEESE,cheese,1,yes,,,,,
8,2,QUACK : POND: WADDLE,DUCK,DUCK,1,yes,,,,,
8,2,ATHLETES : WEB : RABBIT,FOOT,Exercise?,0,yes,,,,,
8,2,HONEY : SWARM : STING,BEE,BEE,1,yes,,,,,
8,2,MATCHES : SMOKE : BUSH,FIRE,FIRE,1,yes,,,,,
8,2,CHOCOLATE : FORTUNE : TIN,COOKIE,COOKIE,1,yes,,,,,
8,2,CURIOSITY : NAP : WHISKERS,CAT,CAT,1,yes,,,,,
8,2,STALK : TRAINER : KING,LION,?,0,yes,,,,,
8,2,SURPRISE : LINE : BIRTHDAY,PARTY,PARTY,1,yes,,,,,
8,2,RED : GO : CAR,STOP,?,0,yes,,,,,
8,2,MOUSE : SHARP : BLUE,CHEESE,?,0,yes,,,,,
7,4,QUACK : POND: WADDLE,DUCK,DIVE,0,yes,,,,,
7,4,ATHLETES : WEB : RABBIT,FOOT,JUMP,0,yes,,,,,
7,4,HONEY : SWARM : STING,BEE,BEE,1,yes,,,,,
7,4,MATCHES : SMOKE : BUSH,FIRE,FIRE,1,yes,,,,,
7,4,CHOCOLATE : FORTUNE : TIN,COOKIE,HAPPINESS,0,yes,,,,,
7,4,CURIOSITY : NAP : WHISKERS,CAT,MICE,0,yes,,,,,
7,4,STALK : TRAINER : KING,LION,ATHLETHE,0,yes,,,,,
7,4,SURPRISE : LINE : BIRTHDAY,PARTY,PARTY,1,yes,,,,,
7,4,RED : GO : CAR,STOP,TRAFFIC,0,yes,,,,,
7,4,MOUSE : SHARP : BLUE,CHEESE,TRA,0,yes,,,,,
9,5,QUACK : POND: WADDLE,DUCK,,0,yes,,,,,
9,5,ATHLETES : WEB : RABBIT,FOOT,,0,yes,,,,,
9,5,HONEY : SWARM : STING,BEE,Bee,1,yes,,,,,
9,5,MATCHES : SMOKE : BUSH,FIRE,Fire,1,yes,,,,,
9,5,CHOCOLATE : FORTUNE : TIN,COOKIE,Cookie,1,yes,,,,,
9,5,CURIOSITY : NAP : WHISKERS,CAT,Cat,1,yes,,,,,
9,5,STALK : TRAINER : KING,LION,,0,yes,,,,,
9,5,SURPRISE : LINE : BIRTHDAY,PARTY,Who's,0,yes,,,,,
9,5,RED : GO : CAR,STOP,Light,0,yes,,,,,
9,5,MOUSE : SHARP : BLUE,CHEESE,Cheese,1,yes,,,,,
10,5,QUACK : POND: WADDLE,DUCK,duck,1,yes,,,,,
10,5,ATHLETES : WEB : RABBIT,FOOT,foot,1,yes,,,,,
10,5,HONEY : SWARM : STING,BEE,bee,1,yes,,,,,
10,5,MATCHES : SMOKE : BUSH,FIRE,fire,1,yes,,,,,
10,5,CHOCOLATE : FORTUNE : TIN,COOKIE,cookie,1,yes,,,,,
10,5,CURIOSITY : NAP : WHISKERS,CAT,cat,1,yes,,,,,
10,5,STALK : TRAINER : KING,LION,,0,yes,,,,,
10,5,SURPRISE : LINE : BIRTHDAY,PARTY,party,1,yes,,,,,
10,5,RED : GO : CAR,STOP,,0,yes,,,,,
10,5,MOUSE : SHARP : BLUE,CHEESE,trap,0,yes,,,,,
11,6,QUACK : POND: WADDLE,DUCK,,0,yes,,,,,
11,6,ATHLETES : WEB : RABBIT,FOOT,foot,1,yes,,,,,
11,6,HONEY : SWARM : STING,BEE,bee,1,yes,,,,,
11,6,MATCHES : SMOKE : BUSH,FIRE,,0,yes,,,,,
11,6,CHOCOLATE : FORTUNE : TIN,COOKIE,,0,yes,,,,,
11,6,CURIOSITY : NAP : WHISKERS,CAT,cat,1,yes,,,,,
11,6,STALK : TRAINER : KING,LION,,0,yes,,,,,
11,6,SURPRISE : LINE : BIRTHDAY,PARTY,party,1,yes,,,,,
11,6,RED : GO : CAR,STOP,,0,yes,,,,,
11,6,MOUSE : SHARP : BLUE,CHEESE,,0,yes,,,,,
12,6,QUACK : POND: WADDLE,DUCK,duck,1,yes,,,,,
12,6,ATHLETES : WEB : RABBIT,FOOT,legs,0,yes,,,,,
12,6,HONEY : SWARM : STING,BEE,bee,1,yes,,,,,
12,6,MATCHES : SMOKE : BUSH,FIRE,fire,1,yes,,,,,
12,6,CHOCOLATE : FORTUNE : TIN,COOKIE,cookie,1,yes,,,,,
12,6,CURIOSITY : NAP : WHISKERS,CAT,cat,1,yes,,,,,
12,6,STALK : TRAINER : KING,LION,leader,0,yes,,,,,
12,6,SURPRISE : LINE : BIRTHDAY,PARTY,party,1,yes,,,,,
12,6,RED : GO : CAR,STOP,race,0,yes,,,,,
12,6,MOUSE : SHARP : BLUE,CHEESE,tail,0,yes,,,,,
14,7,QUACK : POND: WADDLE,DUCK,duck,1,yes,,,,,
14,7,ATHLETES : WEB : RABBIT,FOOT,quick,0,yes,,,,,
14,7,HONEY : SWARM : STING,BEE,bee,1,yes,,,,,
14,7,MATCHES : SMOKE : BUSH,FIRE,fire,1,yes,,,,,
14,7,CHOCOLATE : FORTUNE : TIN,COOKIE,candy,0,yes,,,,,
14,7,CURIOSITY : NAP : WHISKERS,CAT,cat,1,yes,,,,,
14,7,STALK : TRAINER : KING,LION,excercise,0,yes,,,,,
14,7,SURPRISE : LINE : BIRTHDAY,PARTY,happy,0,yes,,,,,
14,7,RED : GO : CAR,STOP,drive,0,yes,,,,,
14,7,MOUSE : SHARP : BLUE,CHEESE,trap,0,yes,,,,,
13,7,QUACK : POND: WADDLE,DUCK,duck,1,yes,,,,,
13,7,ATHLETES : WEB : RABBIT,FOOT,Foot,1,yes,,,,,
13,7,HONEY : SWARM : STING,BEE,Bee,1,yes,,,,,
