"partID","dyadID","trigram","correct_response","response"
"","","QUACK:POND:WADDLE","Duck","duck"
"","","QUACK:POND:WADDLE","Duck",""
"","","ATHLETES:WEB:RABBIT","Foot",""
"","","ATHLETES:WEB:RABBIT","Foot",""
"","","HONEY:SWARM:STING","Bee","bee"
"","","HONEY:SWARM:STING","Bee",""
"","","MATCHES:SMOKE:BUSH","Fire","fire"
"","","MATCHES:SMOKE:BUSH","Fire",""
"","","CHOCOLATE:FORTUNE:TIN","Cookie","cookie"
"","","CHOCOLATE:FORTUNE:TIN","Cookie",""
"","","CURIOSITY:NAP:WHISKERS","Cat","cat"
"","","CURIOSITY:NAP:WHISKERS","Cat",""
"","","STALK:TRAINER:KING","Lion",""
"","","STALK:TRAINER:KING","Lion",""
"","","SURPRISE:LINE:BIRTHDAY","Party","party"
"","","SURPRISE:LINE:BIRTHDAY","Party",""
"","","RED:GO:CAR","Stop",""
"","","RED:GO:CAR","Stop",""
"","","MOUSE : SHARP : BLUE","Cheese","cheese"
"","","MOUSE : SHARP : BLUE","Cheese",""
"11","6","QUACK:POND:WADDLE","Duck","Duck"
"11","6","ATHLETES:WEB:RABBIT","Foot",""
"11","6","HONEY:SWARM:STING","Bee","Bee"
"11","6","MATCHES:SMOKE:BUSH","Fire","Fire"
"11","6","CHOCOLATE:FORTUNE:TIN","Cookie","Cookies"
"11","6","CURIOSITY:NAP:WHISKERS","Cat","Cat"
"11","6","STALK:TRAINER:KING","Lion",""
"11","6","SURPRISE:LINE:BIRTHDAY","Party","Party"
"11","6","RED:GO:CAR","Stop","Traffic Light"
"11","6","MOUSE : SHARP : BLUE","Cheese","Cheese"
"12","6","QUACK:POND:WADDLE","Duck","duck"
"12","6","ATHLETES:WEB:RABBIT","Foot",""
"12","6","HONEY:SWARM:STING","Bee","bee"
"12","6","MATCHES:SMOKE:BUSH","Fire","fire"
"12","6","CHOCOLATE:FORTUNE:TIN","Cookie","cookie"
"12","6","CURIOSITY:NAP:WHISKERS","Cat","cat"
"12","6","STALK:TRAINER:KING","Lion",""
"12","6","SURPRISE:LINE:BIRTHDAY","Party","party"
"12","6","RED:GO:CAR","Stop","cart"
"12","6","MOUSE : SHARP : BLUE","Cheese",""
"15","7","QUACK:POND:WADDLE","Duck",""
"15","7","ATHLETES:WEB:RABBIT","Foot",""
"15","7","HONEY:SWARM:STING","Bee",""
"15","7","MATCHES:SMOKE:BUSH","Fire",""
"15","7","CHOCOLATE:FORTUNE:TIN","Cookie",""
"15","7","CURIOSITY:NAP:WHISKERS","Cat",""
"15","7","STALK:TRAINER:KING","Lion",""
"15","7","SURPRISE:LINE:BIRTHDAY","Party",""
"15","7","RED:GO:CAR","Stop",""
"15","7","MOUSE : SHARP : BLUE","Cheese",""
"16","7","QUACK:POND:WADDLE","Duck",""
"16","7","ATHLETES:WEB:RABBIT","Foot",""
"16","7","HONEY:SWARM:STING","Bee",""
"16","7","MATCHES:SMOKE:BUSH","Fire",""
"16","7","CHOCOLATE:FORTUNE:TIN","Cookie",""
"16","7","CURIOSITY:NAP:WHISKERS","Cat",""
"16","7","STALK:TRAINER:KING","Lion",""
"16","7","SURPRISE:LINE:BIRTHDAY","Party",""
"16","7","RED:GO:CAR","Stop",""
"16","7","MOUSE : SHARP : BLUE","Cheese",""
"36","12","QUACK:POND:WADDLE","Duck",""
"36","12","ATHLETES:WEB:RABBIT","Foot",""
"36","12","HONEY:SWARM:STING","Bee","bee"
"36","12","MATCHES:SMOKE:BUSH","Fire",""
