partID,dyadID,sentence,stem,target,Xinyu
4,2,1,Linda swatted at the flies,that flew around her head.,1
4,2,2,Helen crammed for the test,in twenty minutes.,1
4,2,3,Shirley asked for help getting home,from the bus station.,1
4,2,4,Sam read the newspaper,in his kitchen.,1
4,2,5,Jenny went home to cook dinner,for her family.,5
4,2,6,Katherine baby-sat the neighbor's kids,for ten dollars.,1
4,2,7,Tom bottle fed the baby,really late at night.,1
4,2,8,Bert changed the oil,in his Chevy Impala.,4
5,2,1,Linda swatted at the flies,angrily,1
5,2,2,Helen crammed for the test,anxiously,1
5,2,3,Shirley asked for help getting home,safely,3
5,2,4,Sam read the newspaper,carefully,2
5,2,5,Jenny went home to cook dinner,for the family,5
5,2,6,Katherine baby-sat the neighbor's kids,happily,3
5,2,7,Tom bottle fed the baby,carefully,2
5,2,8,Bert changed the oil,to make a good dinner,1
991104206,2,1,Linda swatted at the flies,with the fly swatter.,1
991104206,2,2,Helen crammed for the test,in order to get an a.,1
991104206,2,3,Shirley asked for help getting home,by calling for an Uber.,1
991104206,2,4,Sam read the newspaper,daily.,1
991104206,2,5,Jenny went home to cook dinner,for her family.,5
991104206,2,6,Katherine baby-sat the neighbor's kids,for some extra money.,2
991104206,2,7,Tom bottle fed the baby,because she was crying.,2
991104206,2,8,Bert changed the oil,in his car.,1
991136713,2,1,Linda swatted at the flies,quickly,1
991136713,2,2,Helen crammed for the test,hard,1
991136713,2,3,Shirley asked for help getting home,from the neighbors,2
991136713,2,4,Sam read the newspaper,meticuously,2
991136713,2,5,Jenny went home to cook dinner,quickly,1
991136713,2,6,Katherine baby-sat the neighbor's kids,noisy,2
991136713,2,7,Tom bottle fed the baby,quietly,2
991136713,2,8,Bert changed the oil,in a jolly mood,2
8,3,1,Linda swatted at the flies,that hummed around her picnic lunch.,4
8,3,2,Helen crammed for the test,the night before.,1
8,3,3,Shirley asked for help getting home,from the tall dark stranger.,4
8,3,4,Sam read the newspaper,as rarely as he could manage.,4
8,3,5,Jenny went home to cook dinner,for her ungrateful kids.,5
8,3,6,Katherine baby-sat the neighbor's kids,to earn money for college.,2
8,3,7,Tom bottle fed the baby,once in a while.,5
8,3,8,Bert changed the oil,in his old jalopy.,4
9,3,1,Linda swatted at the flies," , because it was flying over her food.",1
9,3,2,Helen crammed for the test,", because she procrastinated",1
9,3,3,Shirley asked for help getting home, late at night after a party,3
9,3,4,Sam read the newspaper, as her morning routine,1
9,3,5,Jenny went home to cook dinner, because she was very hungry,1
9,3,6,Katherine baby-sat the neighbor's kids, to earn some extra money,1
9,3,7,Tom bottle fed the baby, who was crying all day,1
9,3,8,Bert changed the oil, of the car,1
11,6,1,Linda swatted at the flies,in her living room.,1
11,6,2,Helen crammed for the test,after spending the night with friends.,1
11,6,3,Shirley asked for help getting home,because there were no Uber drivers nearby.,1
11,6,4,Sam read the newspaper,because her father told her to.,4
11,6,5,Jenny went home to cook dinner,after a long day at school.,1
11,6,6,Katherine baby-sat the neighbor's kids,while they were at work.,2
11,6,7,Tom bottle fed the baby,because it was crying.,1
11,6,8,Bert changed the oil,because his car showed a light indicating he needed to change it.,1
12,6,1,Linda swatted at the flies,on the chair.,1
12,6,2,Helen crammed for the test,the night before.,1
12,6,3,Shirley asked for help getting home,work done.,1
12,6,4,Sam read the newspaper,this morning.,1
12,6,5,Jenny went home to cook dinner,last night.,1
12,6,6,Katherine baby-sat the neighbor's kids,for three years.,4
12,6,7,Tom bottle fed the baby,in the middle of the night.,1
12,6,8,Bert changed the oil,in the car.,1
36,12,1,Linda swatted at the flies,that were on the flower,4
36,12,2,Helen crammed for the test,after learning so much content last minute,1
36,12,3,Shirley asked for help getting home,because she was feeling dizzy,5
36,12,4,Sam read the newspaper,multiple times,3
36,12,5,Jenny went home to cook dinner, for her family,5
36,12,6,Katherine baby-sat the neighbor's kids,for a day,1
36,12,7,Tom bottle fed the baby,last night,1
36,12,8,Bert changed the oil,because it was very dark,1
37,12,1,Linda swatted at the flies,furiously.,1
37,12,2,Helen crammed for the test,all night long.,1
37,12,3,Shirley asked for help getting home,from the supermarket.,1
37,12,4,Sam read the newspaper,silently.,1
37,12,5,Jenny went home to cook dinner,for her family.,5
37,12,6,Katherine baby-sat the neighbor's kids,over the weekend.,1
37,12,7,Tom bottle fed the baby,until it fell asleep.,1
37,12,8,Bert changed the oil,for his car.,1
38,13,1,Linda swatted at the flies,with her hands.,1
38,13,2,Helen crammed for the test,last night.,1
38,13,3,Shirley asked for help getting home,from school.,1
38,13,4,Sam read the newspaper,outloud.,1
38,13,5,Jenny went home to cook dinner,for her family.,5
38,13,6,Katherine baby-sat the neighbor's kids,this weekend.,1
38,13,7,Tom bottle fed the baby,this morning.,1
38,13,8,Bert changed the oil,last week.,1
39,13,1,Linda swatted at the flies,because they were trying to eat her lunch.,1
39,13,2,Helen crammed for the test,because she had no time to study earlier in the week.,2
39,13,3,Shirley asked for help getting home,because she has trouble walking long distances.,4
39,13,4,Sam read the newspaper,everyday at breakfast.,3
39,13,5,Jenny went home to cook dinner,for herself after a long day.,1
39,13,6,Katherine baby-sat the neighbor's kids,in order to buy her sister a present.,2
39,13,7,Tom bottle fed the baby,because the baby was hungry.,1
39,13,8,Bert changed the oil,in his car because it was low.,1
40,14,1,Linda swatted at the flies,in hopes they would leave her alone.,3
40,14,2,Helen crammed for the test,the previous night.,1
40,14,3,Shirley asked for help getting home,to avoid walking in the rain.,3
40,14,4,Sam read the newspaper,to find out who won the soccer game.,5
40,14,5,Jenny went home to cook dinner,for him and his family.,1
40,14,6,Katherine baby-sat the neighbor's kids,for a few hours last Thursday.,1
40,14,7,Tom bottle fed the baby,after he got home from work.,1
40,14,8,Bert changed the oil,of his car in the driveway.,3
41,14,1,Linda swatted at the flies,quickly.,1
41,14,2,Helen crammed for the test,she had the next day.,2
41,14,3,Shirley asked for help getting home,from the subway.,1
41,14,4,Sam read the newspaper,quietly.,2
41,14,5,Jenny went home to cook dinner,for her family.,5
41,14,6,Katherine baby-sat the neighbor's kids,for three hours.,2
41,14,7,Tom bottle fed the baby,when it woke up from its nap.,1
41,14,8,Bert changed the oil,in the car.,1
42,15,1,Linda swatted at the flies,with her newspaper.,2
42,15,2,Helen crammed for the test,three hours before the exam start time.,3
