partID,dyadID,Sentence,Stem,Target,Hannah,Jennie,Amelia,Notes
3.00,2.00,1.00,Linda swatted at the flies ,"lazily, as the afternoon dragged by.",2.00,3,3,
3.00,2.00,2.00,Helen crammed for the test ,"with desperation, as she had forgoten to study the night before.",4.00,4,4,
3.00,2.00,3.00,Shirley asked for help getting home ,with someone she would have normaly thought of.,3.00,3,3,
3.00,2.00,4.00,Sam read the newspaper ,with keen attentiveness.,3.00,3,4,
3.00,2.00,5.00,Jenny went home to cook dinner ,in the late hours of the night.,2.00,3,1,
3.00,2.00,6.00,Katherine baby-sat the neighbor's kids ,with an endless patience,4.00,4,4,
3.00,2.00,7.00,Tom bottle fed the baby ,nervously having never done this before.,5.00,5,5,
3.00,2.00,8.00,Bert changed the oil ,with practiced ease.,5.00,3,5,
4.00,2.00,1.00,Linda swatted at the flies ,relentlessly,3.00,3,4,
4.00,2.00,2.00,Helen crammed for the test ,all day,3.00,3,3,
4.00,2.00,3.00,Shirley asked for help getting home ,because she couldn't do it alone,5.00,4,3,
4.00,2.00,4.00,Sam read the newspaper ,quickly,3.00,3,3,
4.00,2.00,5.00,Jenny went home to cook dinner ,for her family,5.00,5,4,
4.00,2.00,6.00,Katherine baby-sat the neighbor's kids ,every week,3.00,3,4,
4.00,2.00,7.00,Tom bottle fed the baby ,quietly,3.00,3,2,
4.00,2.00,8.00,Bert changed the oil ,every month,3.00,3,4,
5.00,3.00,1.00,Linda swatted at the flies ,on the table,3.00,3,3,
5.00,3.00,2.00,Helen crammed for the test ,because it was hard,3.00,3,3,
5.00,3.00,3.00,Shirley asked for help getting home ,; she was lost,4.00,4,4,
5.00,3.00,4.00,Sam read the newspaper ,and was amazed by the stupidity of media organizations,3.00,3,3,
5.00,3.00,5.00,Jenny went home to cook dinner ,for herself,2.00,2,2,
5.00,3.00,6.00,Katherine baby-sat the neighbor's kids ,for pocket-money,3.00,3,3,
5.00,3.00,7.00,Tom bottle fed the baby ,for his mom,3.00,3,4,
5.00,3.00,8.00,Bert changed the oil ,of the car,3.00,3,3,
6.00,3.00,1.00,Linda swatted at the flies ,madly,3.00,3,4,
6.00,3.00,2.00,Helen crammed for the test ,intensely,3.00,3,3,
6.00,3.00,3.00,Shirley asked for help getting home ,timidly,5.00,4,5,
6.00,3.00,4.00,Sam read the newspaper ,distractedly,3.00,3,3,
6.00,3.00,5.00,Jenny went home to cook dinner ,quickly,3.00,3,3,
6.00,3.00,6.00,Katherine baby-sat the neighbor's kids ,effortlessly,4.00,4,5,
6.00,3.00,7.00,Tom bottle fed the baby ,paternally,1.00,3,2,
6.00,3.00,8.00,Bert changed the oil ,painstakingly,1.00,3,3,
8.00,2.00,1.00,Linda swatted at the flies ,that were buzzing around her face,3.00,3,3,
8.00,2.00,2.00,Helen crammed for the test ,that she was to take tomorrow,3.00,3,3,
8.00,2.00,3.00,Shirley asked for help getting home ,because her ride bailed on her at the last minute,3.00,3,3,
8.00,2.00,4.00,Sam read the newspaper ,as part of her morning routine,2.00,2,3,
8.00,2.00,5.00,Jenny went home to cook dinner ,because she was hungry after a long day,2.00,2,3,
8.00,2.00,6.00,Katherine baby-sat the neighbor's kids ,while their parents were out on a date,3.00,3,3,
8.00,2.00,7.00,Tom bottle fed the baby ,before putting him down for a nap,2.00,3,2,
8.00,2.00,8.00,Bert changed the oil ,"in his car after the odometer hit 100,000 miles",3.00,3,3,
7.00,4.00,1.00,Linda swatted at the flies ,impatiently.,3.00,3,3,
7.00,4.00,2.00,Helen crammed for the test ,desperately.,4.00,4,4,
7.00,4.00,3.00,Shirley asked for help getting home ,because it's late.,3.00,4,3,
7.00,4.00,4.00,Sam read the newspaper ,very carefully.,3.00,3,3,
7.00,4.00,5.00,Jenny went home to cook dinner ,for her children.,4.00,4,4,
7.00,4.00,6.00,Katherine baby-sat the neighbor's kids ,to earn some extra money.,3.00,3,2,
7.00,4.00,7.00,Tom bottle fed the baby ,with a smile.,2.00,3,2,
7.00,4.00,8.00,Bert changed the oil ,for no reason.,3.00,2,4,
9.00,5.00,1.00,Linda swatted at the flies ,", but failed to actually hit any of them.",4.00,4,4,
9.00,5.00,2.00,Helen crammed for the test ,in the weeks prior to the test.,3.00,2,3,
9.00,5.00,3.00,Shirley asked for help getting home ,and so the stranger directed her towards her street.,4.00,3,4,
9.00,5.00,4.00,Sam read the newspaper ,but mostly for the comics.,5.00,3,3,
9.00,5.00,5.00,Jenny went home to cook dinner ,"for herself and her dog, Patrick.",2.00,2,1,
9.00,5.00,6.00,Katherine baby-sat the neighbor's kids ,", finding them to be completely out of control the whole night.",3.00,3,2,
9.00,5.00,7.00,Tom bottle fed the baby ,because he was misinformed to believe that bottle feeding babies was better for them than breast feeding.,5.00,3,4,
9.00,5.00,8.00,Bert changed the oil ,in his car.,3.00,3,3,
