partID,dyadID,sentence,stem,target,kat_score,notes
4,2,1,Linda swatted at the flies,that flew around her head.,3,
4,2,2,Helen crammed for the test,in twenty minutes.,2,
4,2,3,Shirley asked for help getting home,from the bus station.,3,
4,2,4,Sam read the newspaper,in his kitchen.,2,
4,2,5,Jenny went home to cook dinner,for her family.,5,
4,2,6,Katherine baby-sat the neighbor's kids,for ten dollars.,2,
4,2,7,Tom bottle fed the baby,really late at night.,2,
4,2,8,Bert changed the oil,in his Chevy Impala.,4,
5,2,1,Linda swatted at the flies,angrily,4,
5,2,2,Helen crammed for the test,anxiously,4,
5,2,3,Shirley asked for help getting home,safely,4,
5,2,4,Sam read the newspaper,carefully,3,
5,2,5,Jenny went home to cook dinner,for the family,5,
5,2,6,Katherine baby-sat the neighbor's kids,happily,4,
5,2,7,Tom bottle fed the baby,carefully,3,
5,2,8,Bert changed the oil,to make a good dinner,1,
991104206,2,1,Linda swatted at the flies,with the fly swatter.,3,
991104206,2,2,Helen crammed for the test,in order to get an a.,3,
991104206,2,3,Shirley asked for help getting home,by calling for an Uber.,2,
991104206,2,4,Sam read the newspaper,daily.,3,
991104206,2,5,Jenny went home to cook dinner,for her family.,5,
991104206,2,6,Katherine baby-sat the neighbor's kids,for some extra money.,2,
991104206,2,7,Tom bottle fed the baby,because she was crying.,3,
991104206,2,8,Bert changed the oil,in his car.,4,
991136713,2,1,Linda swatted at the flies,quickly,3,
991136713,2,2,Helen crammed for the test,hard,3,
991136713,2,3,Shirley asked for help getting home,from the neighbors,3,
991136713,2,4,Sam read the newspaper,meticuously,3,
991136713,2,5,Jenny went home to cook dinner,quickly,2,
991136713,2,6,Katherine baby-sat the neighbor's kids,noisy,3,this one doesn't really make sense
991136713,2,7,Tom bottle fed the baby,quietly,3,
991136713,2,8,Bert changed the oil,in a jolly mood,2,
8,3,1,Linda swatted at the flies,that hummed around her picnic lunch.,3,
8,3,2,Helen crammed for the test,the night before.,3,
8,3,3,Shirley asked for help getting home,from the tall dark stranger.,5,
8,3,4,Sam read the newspaper,as rarely as he could manage.,3,
8,3,5,Jenny went home to cook dinner,for her ungrateful kids.,5,
8,3,6,Katherine baby-sat the neighbor's kids,to earn money for college.,2,
8,3,7,Tom bottle fed the baby,once in a while.,5,
8,3,8,Bert changed the oil,in his old jalopy.,4,
9,3,1,Linda swatted at the flies,", because it was flying over her food.",3,
9,3,2,Helen crammed for the test,", because she procrastinated",3,
9,3,3,Shirley asked for help getting home,late at night after a party,3,
9,3,4,Sam read the newspaper,as her morning routine,3,
9,3,5,Jenny went home to cook dinner,because she was very hungry,3,
9,3,6,Katherine baby-sat the neighbor's kids,to earn some extra money,2,
9,3,7,Tom bottle fed the baby,who was crying all day,3,
9,3,8,Bert changed the oil,of the car,4,
11,6,1,Linda swatted at the flies,in her living room.,3,
11,6,2,Helen crammed for the test,after spending the night with friends.,3,
11,6,3,Shirley asked for help getting home,because there were no Uber drivers nearby.,2,
11,6,4,Sam read the newspaper,because her father told her to.,5,
11,6,5,Jenny went home to cook dinner,after a long day at school.,1,
11,6,6,Katherine baby-sat the neighbor's kids,while they were at work.,3,
11,6,7,Tom bottle fed the baby,because it was crying.,3,
11,6,8,Bert changed the oil,because his car showed a light indicating he needed to change it.,4,
