partID,dyadID,trigram,correct_response,response,correct,kat correct,final_correct
4,2,QUACK:POND:WADDLE,Duck,duck,1,,1
4,2,ATHLETES:WEB:RABBIT,Foot,,0,0,0
4,2,HONEY:SWARM:STING,Bee,bee,1,,1
4,2,MATCHES:SMOKE:BUSH,Fire,fire,1,,1
4,2,CHOCOLATE:FORTUNE:TIN,Cookie,cookie,1,,1
4,2,CURIOSITY:NAP:WHISKERS,Cat,cat,1,,1
4,2,STALK:TRAINER:KING,Lion,corn,0,0,0
4,2,SURPRISE:LINE:BIRTHDAY,Party,party,1,,1
4,2,RED:GO:CAR,Stop,light,0,0,0
4,2,MOUSE : SHARP : BLUE,Cheese,cheese,1,,1
5,2,QUACK:POND:WADDLE,Duck,duck,1,,1
5,2,ATHLETES:WEB:RABBIT,Foot,,0,0,0
5,2,HONEY:SWARM:STING,Bee,pain,0,0,0
5,2,MATCHES:SMOKE:BUSH,Fire,free,0,0,0
5,2,CHOCOLATE:FORTUNE:TIN,Cookie,cookie,1,,1
5,2,CURIOSITY:NAP:WHISKERS,Cat,,0,0,0
5,2,STALK:TRAINER:KING,Lion,runs,0,0,0
5,2,SURPRISE:LINE:BIRTHDAY,Party,gift,0,0,0
5,2,RED:GO:CAR,Stop,,0,0,0
5,2,MOUSE : SHARP : BLUE,Cheese,clicks,0,0,0
8,3,QUACK:POND:WADDLE,Duck,duck,1,,1
8,3,ATHLETES:WEB:RABBIT,Foot,foot,1,,1
8,3,HONEY:SWARM:STING,Bee,bee,1,,1
8,3,MATCHES:SMOKE:BUSH,Fire,wood,0,0,0
8,3,CHOCOLATE:FORTUNE:TIN,Cookie,cookie,1,,1
8,3,CURIOSITY:NAP:WHISKERS,Cat,cat,1,,1
8,3,STALK:TRAINER:KING,Lion,,0,0,0
8,3,SURPRISE:LINE:BIRTHDAY,Party,party,1,,1
8,3,RED:GO:CAR,Stop,,0,0,0
8,3,MOUSE : SHARP : BLUE,Cheese,cheese,1,,1
9,3,QUACK:POND:WADDLE,Duck,,0,0,0
9,3,ATHLETES:WEB:RABBIT,Foot,,0,0,0
9,3,HONEY:SWARM:STING,Bee,bee,1,,1
9,3,MATCHES:SMOKE:BUSH,Fire,,0,0,0
9,3,CHOCOLATE:FORTUNE:TIN,Cookie,,0,0,0
9,3,CURIOSITY:NAP:WHISKERS,Cat,,0,0,0
9,3,STALK:TRAINER:KING,Lion,,0,0,0
9,3,SURPRISE:LINE:BIRTHDAY,Party,party,1,,1
9,3,RED:GO:CAR,Stop,,0,0,0
9,3,MOUSE : SHARP : BLUE,Cheese,,0,0,0
11,6,QUACK:POND:WADDLE,Duck,Duck,1,,1
11,6,ATHLETES:WEB:RABBIT,Foot,,0,0,0
11,6,HONEY:SWARM:STING,Bee,Bee,1,,1
11,6,MATCHES:SMOKE:BUSH,Fire,Fire,1,,1
11,6,CHOCOLATE:FORTUNE:TIN,Cookie,Cookies,0,1,1
11,6,CURIOSITY:NAP:WHISKERS,Cat,Cat,1,,1
11,6,STALK:TRAINER:KING,Lion,,0,,0
11,6,SURPRISE:LINE:BIRTHDAY,Party,Party,1,,1
11,6,RED:GO:CAR,Stop,Traffic Light,0,0,0
11,6,MOUSE : SHARP : BLUE,Cheese,Cheese,1,,1
12,6,QUACK:POND:WADDLE,Duck,duck,1,,1
12,6,ATHLETES:WEB:RABBIT,Foot,,0,,0
12,6,HONEY:SWARM:STING,Bee,bee,1,,1
12,6,MATCHES:SMOKE:BUSH,Fire,fire,1,,1
12,6,CHOCOLATE:FORTUNE:TIN,Cookie,cookie,1,,1
12,6,CURIOSITY:NAP:WHISKERS,Cat,cat,1,,1
12,6,STALK:TRAINER:KING,Lion,,0,,0
12,6,SURPRISE:LINE:BIRTHDAY,Party,party,1,,1
12,6,RED:GO:CAR,Stop,cart,0,0,0
12,6,MOUSE : SHARP : BLUE,Cheese,,0,,0
15,7,QUACK:POND:WADDLE,Duck,,0,,0
15,7,ATHLETES:WEB:RABBIT,Foot,,0,,0
15,7,HONEY:SWARM:STING,Bee,,0,,0
15,7,MATCHES:SMOKE:BUSH,Fire,,0,,0
15,7,CHOCOLATE:FORTUNE:TIN,Cookie,,0,,0
15,7,CURIOSITY:NAP:WHISKERS,Cat,,0,,0
15,7,STALK:TRAINER:KING,Lion,,0,,0
15,7,SURPRISE:LINE:BIRTHDAY,Party,,0,,0
15,7,RED:GO:CAR,Stop,,0,,0
15,7,MOUSE : SHARP : BLUE,Cheese,,0,,0
16,7,QUACK:POND:WADDLE,Duck,,0,,0
16,7,ATHLETES:WEB:RABBIT,Foot,,0,,0
16,7,HONEY:SWARM:STING,Bee,,0,,0
16,7,MATCHES:SMOKE:BUSH,Fire,,0,,0
16,7,CHOCOLATE:FORTUNE:TIN,Cookie,,0,,0
16,7,CURIOSITY:NAP:WHISKERS,Cat,,0,,0
16,7,STALK:TRAINER:KING,Lion,,0,,0
16,7,SURPRISE:LINE:BIRTHDAY,Party,,0,,0
16,7,RED:GO:CAR,Stop,,0,,0
16,7,MOUSE : SHARP : BLUE,Cheese,,0,,0
36,12,QUACK:POND:WADDLE,Duck,,0,,0
36,12,ATHLETES:WEB:RABBIT,Foot,,0,,0
36,12,HONEY:SWARM:STING,Bee,bee,1,,1
36,12,MATCHES:SMOKE:BUSH,Fire,,0,,0
36,12,CHOCOLATE:FORTUNE:TIN,Cookie,cookie,1,,1
36,12,CURIOSITY:NAP:WHISKERS,Cat,,0,,0
36,12,STALK:TRAINER:KING,Lion,,0,,0
36,12,SURPRISE:LINE:BIRTHDAY,Party,happy,0,0,0
36,12,RED:GO:CAR,Stop,,0,,0
36,12,MOUSE : SHARP : BLUE,Cheese,trap,0,0,0
